Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Delta Time (s),Delta Freq (Hz),Avg Power Density (dB FS/Hz),Annotation
13,Spectrogram 1,1,70.038106451,70.90841082,2106.87,5954.198,0.8703,3847.328,-57.11,song
14,Spectrogram 1,1,74.016640712,74.845502016,2198.473,6412.214,0.8289,4213.74,-49.32,song
1,Spectrogram 1,1,0.992639786,1.888906777,1832.061,6412.214,0.8963,4580.153,-37.52,song
2,Spectrogram 1,1,9.422248961,10.34742779,2015.267,6503.817,0.9252,4488.55,-36.27,song
3,Spectrogram 1,1,18.766434051,19.614514645,1832.061,6412.214,0.8481,4580.153,-37.08,song
4,Spectrogram 1,1,27.351875277,28.286691386,1923.664,6229.008,0.9348,4305.344,-37.45,song
5,Spectrogram 1,1,39.31852329,40.22442756,1923.664,6503.817,0.9059,4580.153,-37.26,song
6,Spectrogram 1,1,52.257924309,53.086730344,1832.061,6045.802,0.8288,4213.74,-38.89,song
1,Spectrogram 1,1,0.997906822,1.974120017,1391.916,6369.069,0.9762,4977.153,-33.32,song
2,Spectrogram 1,1,8.872693265,9.827212834,1476.274,6369.069,0.9545,4892.794,-33.03,song
3,Spectrogram 1,1,16.313607177,17.333207626,1391.916,6369.069,1.0196,4977.153,-33.88,song
4,Spectrogram 1,1,27.428482776,28.383002345,1476.274,5609.842,0.9545,4133.568,-30.69,song
1,Spectrogram 1,1,4.895281416,6.194227375,632.689,4850.615,1.2989,4217.926,-32.58,song
